Id,SalePrice
2,126483.37801642698
4,238811.05996070575
6,188094.2552717582
7,238028.388664276
17,257062.105321389
18,343368.54372382455
22,185861.28020934758
27,120622.29096107895
31,107177.04158381798
36,152987.40472257262
39,391913.77621289727
40,262893.03418334917
42,325755.003185058
46,206727.0053639337
53,178953.0028283892
58,174052.90397864292
61,295104.39386445394
72,209973.8343578755
79,121096.08489323454
80,221638.88861795585
82,161923.8157780316
83,89395.24126315513
85,164135.87065609556
88,120968.50320446439
92,300331.62688964093
93,289172.46785828046
95,185588.38842531966
102,170835.2755999248
103,187008.68303299334
106,251091.29193374614
107,187122.23955772037
110,214667.6982164073
114,202806.39433357635
116,185465.0856416599
117,162970.84431665414
118,143859.33544433603
125,156214.45952894288
126,188997.5981376955
127,135246.466044219
128,212484.0757960456
134,134284.7803485219
135,165443.76170670555
137,238135.62659990462
143,140735.1974167107
147,134488.5289276304
148,161193.9052111232
150,121348.26160202076
156,153795.48702108226
157,124979.76590911817
159,147176.37039212234
161,256258.35455720188
167,147116.38979445142
170,107135.48758130844
171,95235.22262061617
175,125155.31484642392
179,132946.01270155155
181,111357.63884924314
186,231643.69048653607
193,190640.7118424872
194,85014.42313456844
206,128837.72937133719
208,146433.65390666007
210,164713.83054156555
211,77118.72061795383
212,106118.26840146304
214,81273.32634438993
215,149325.09020945465
217,151202.04976766254
222,151182.92907376055
227,147406.745422519
228,155184.82080617262
233,215644.87694623132
235,140012.31844503232
238,137257.20678878794
241,166664.31195244007
252,193567.44989962332
253,191491.44123249667
256,156455.25420345814
257,144665.37514167212
258,197161.86733942866
259,179949.19109496943
261,156312.82987693464
263,127921.09343905462
266,222466.68363836274
267,220142.86073440127
270,147380.37315833286
271,276111.7283897616
276,113662.18163372338
285,150443.11406360133
288,60780.88432811077
289,127877.02766773902
290,113210.01313736488
291,155972.85702973572
292,92576.93420435209
293,182283.44106713377
294,208848.55386927948
295,193459.19879997455
304,110384.65060298878
322,377806.4926310262
326,166232.256179367
327,103495.5133862507
328,124419.96258930926
331,81544.43769946316
332,67269.29601792738
333,106635.08323236258
335,158183.75818247604
337,188979.84712904523
342,122085.26435824507
343,177027.39317864212
347,179742.11175361153
350,322982.9410484639
352,227639.2470210608
358,215758.30724650086
359,170656.92708797829
360,153506.44006121304
368,285881.977315805
369,232206.1959470656
373,191447.99054872748
377,249235.00090949234
383,184967.68868722813
386,245463.2325097928
387,251587.71330001997
390,172663.76284399017
391,153104.57267105498
395,166815.23703449016
397,139445.26640183583
398,126270.42020857413
401,126836.73739739502
404,146079.16066879217
408,133890.64211086393
409,151988.88857943958
410,154134.04648808343
418,140041.1159920336
422,426182.3975466194
427,325517.9162641566
431,394686.97149511636
433,436506.3681347964
437,326931.7954958873
438,268919.2628645376
442,380255.71645312465
447,209483.63075330757
459,361434.62114965986
460,323837.50441678567
464,196274.35217229038
465,192521.7924806184
467,179458.66353551872
468,175528.25431302786
474,175373.9708460157
480,196087.72497790586
481,202863.20494652705
483,207611.471530305
488,177905.46977946028
492,185732.20840267182
494,176555.89101589328
499,300614.8634928734
500,238321.42583991226
501,307274.3900876165
503,227255.6711988625
506,236086.82152928505
508,270121.57775973587
511,288440.80630936776
515,215639.98490475462
519,248663.6259215618
521,321848.91015293857
530,218420.43320381877
532,223841.97008775052
534,193610.65225021535
540,183093.4318653355
